Country,Sport,Year,Athletes,Gold,Silver,Bronze,Total_Medals,Events_Participated,GDP_Index,Population_Millions,Prev_Medals,Host,Medal_per_Athlete,Gold_Ratio,Participation_Rate,Medals_per_Million
New Zealand,Judo,2008,,4.0,3.0,2.0,9.0,39.0,,1143.85,10.0,0,,0.4444,,0.0079
Iran,Rowing,2012,30.0,2.0,4.0,1.0,7.0,1.0,0.458,408.3,5.0,0,0.2333,0.2857,30.0,0.0171
Mexico,Shooting,2000,6.0,2.0,1.0,4.0,7.0,29.0,0.361,326.65,5.0,0,1.1667,0.2857,0.2069,0.0214
Estonia,Athletics,2004,6.0,,2.0,1.0,,2.0,,649.99,4.0,0,,,3.0,
Malaysia,Weightlifting,2020,38.0,2.0,1.0,4.0,7.0,32.0,,355.92,6.0,0,0.1842,0.2857,1.1875,0.0197
Bulgaria,Shooting,2016,41.0,4.0,1.0,2.0,7.0,37.0,0.758,208.03,,0,0.1707,0.5714,1.1081,0.0336
Colombia,Judo,2020,1.0,,1.0,1.0,2.0,26.0,0.319,126.92,2.0,0,2.0,,0.0385,0.0158
Georgia,Rowing,2020,9.0,3.0,2.0,4.0,9.0,38.0,0.254,486.18,7.0,0,1.0,0.3333,0.2368,0.0185
Cambodia,Weightlifting,2024,52.0,2.0,2.0,3.0,7.0,46.0,0.451,680.41,6.0,0,0.1346,0.2857,1.1304,0.0103
Russia,Boxing,2024,46.0,3.0,4.0,1.0,8.0,36.0,0.126,554.33,8.0,0,0.1739,0.375,1.2778,0.0144
Czech Republic,Wrestling,2024,31.0,4.0,,,,3.0,0.146,1321.58,10.0,0,,,10.3333,
Costa Rica,Gymnastics,2012,9.0,0.0,0.0,3.0,3.0,14.0,0.84,1214.92,2.0,0,0.3333,0.0,0.6429,0.0025
Poland,Wrestling,2020,32.0,5.0,3.0,3.0,11.0,6.0,0.308,,11.0,0,0.3438,0.4545,5.3333,
Colombia,Weightlifting,2008,31.0,3.0,3.0,4.0,10.0,8.0,0.422,974.46,8.0,0,0.3226,0.3,3.875,0.0103
Turkey,Cycling,2008,54.0,1.0,2.0,,5.0,12.0,0.957,1107.29,6.0,0,0.0926,0.2,4.5,0.0045
Latvia,Athletics,2024,,0.0,1.0,0.0,1.0,40.0,0.293,265.82,0.0,0,,0.0,,0.0038
Hungary,Wrestling,2024,8.0,0.0,0.0,0.0,,39.0,0.574,950.03,0.0,0,,,0.2051,
Armenia,Cycling,1996,,0.0,0.0,0.0,,46.0,0.477,590.63,,0,,,,
Switzerland,Boxing,2020,22.0,1.0,2.0,1.0,4.0,44.0,0.913,100.05,6.0,0,0.1818,0.25,0.5,0.04
India,Weightlifting,2008,,3.0,3.0,,11.0,39.0,0.154,1137.63,,0,,0.2727,,0.0097
Sweden,Shooting,2012,27.0,3.0,3.0,1.0,7.0,27.0,,1342.21,7.0,0,0.2593,0.4286,1.0,0.0052
Denmark,Wrestling,2016,,2.0,4.0,2.0,8.0,16.0,,529.12,8.0,0,,0.25,,0.0151
Slovakia,Weightlifting,2020,36.0,1.0,0.0,0.0,1.0,30.0,0.164,157.57,1.0,0,0.0278,1.0,1.2,0.0063
Fiji,Weightlifting,2000,42.0,0.0,0.0,0.0,0.0,24.0,0.592,1234.43,0.0,0,0.0,0.0,1.75,0.0
Thailand,Shooting,2016,48.0,5.0,,,11.0,5.0,0.513,790.86,9.0,0,0.2292,0.4545,9.6,0.0139
Trinidad,Wrestling,2024,,2.0,3.0,0.0,5.0,41.0,0.768,207.4,6.0,0,,0.4,,0.0241
Lithuania,Rowing,2012,40.0,3.0,4.0,,11.0,32.0,0.187,716.92,8.0,0,0.275,0.2727,1.25,0.0153
Dominican Republic,Swimming,2012,29.0,-4.9947732503834565,-4.106980544987589,1.0,6.0,6.0,0.886,74.69,3.0,0,0.2069,-0.8325,4.8333,0.0803
Azerbaijan,Rowing,1992,56.0,5.0,4.0,4.0,13.0,22.0,0.83,181.34,12.0,0,0.2321,0.3846,2.5455,0.0717
Bulgaria,Rowing,2004,19.0,0.0,2.0,3.0,,9.0,0.154,,2.0,0,,,2.1111,
Malaysia,Judo,2016,,2.0,1.0,2.0,5.0,26.0,0.156,,2.0,0,,0.4,,
Japan,Shooting,1996,55.0,5.0,3.0,2.0,10.0,46.0,0.684,285.65,8.0,0,0.1818,0.5,1.1957,0.035
UK,Cycling,2016,11.0,3.0,1.0,3.0,7.0,11.0,,911.22,8.0,0,0.6364,0.4286,1.0,0.0077
Lebanon,Boxing,2004,10.0,5.0,4.0,,12.0,8.0,0.141,283.62,11.0,0,1.2,0.4167,1.25,0.0423
Uzbekistan,Gymnastics,2024,54.0,3.0,3.0,4.0,10.0,31.0,0.974,1139.02,8.0,0,0.1852,0.3,1.7419,0.0088
Denmark,Judo,2008,20.0,3.0,,3.0,9.0,3.0,0.418,273.56,8.0,0,0.45,0.3333,6.6667,0.0329
Qatar,Rowing,2016,41.0,5.0,2.0,2.0,9.0,32.0,0.147,695.64,11.0,0,0.2195,0.5556,1.2812,0.0129
Jordan,Wrestling,2000,32.0,3.0,3.0,,8.0,47.0,,13.77,10.0,0,0.25,0.375,0.6809,0.581
Zimbabwe,Cycling,2004,,4.0,4.0,2.0,10.0,9.0,0.826,1358.72,8.0,0,,0.4,,0.0074
Egypt,Weightlifting,2008,45.0,1.0,0.0,1.0,2.0,38.0,0.973,,0.0,0,0.0444,0.5,1.1842,
Morocco,Judo,2012,53.0,4.0,4.0,4.0,12.0,,0.251,447.28,12.0,0,0.2264,0.3333,,0.0268
Costa Rica,Boxing,1992,20.0,3.0,3.0,0.0,6.0,7.0,0.158,1334.84,8.0,0,0.3,0.5,2.8571,0.0045
Panama,Swimming,2000,54.0,0.0,0.0,0.0,0.0,13.0,,,0.0,0,0.0,0.0,4.1538,
South Africa,Gymnastics,1992,9.0,1.0,0.0,1.0,,1.0,,192.69,1.0,0,,,9.0,
Panama,Wrestling,2016,10.0,0.0,0.0,0.0,,13.0,0.2,1185.19,0.0,0,,,0.7692,
Mexico,Weightlifting,2008,26.0,3.0,2.0,3.0,8.0,30.0,0.437,1065.36,8.0,0,0.3077,0.375,0.8667,0.0075
UAE,Judo,2008,,3.0,4.0,1.0,8.0,36.0,0.891,924.8,10.0,0,,0.375,,0.0087
Poland,Athletics,2004,37.0,0.0,0.0,1.0,1.0,25.0,0.383,689.97,0.0,0,0.027,0.0,1.48,0.0014
South Korea,Judo,2000,1.0,3.0,1.0,0.0,4.0,45.0,,959.54,6.0,0,4.0,0.75,0.0222,0.0042
Dominican Republic,Rowing,1996,30.0,0.0,1.0,1.0,2.0,45.0,0.16,,0.0,0,0.0667,0.0,0.6667,
New Zealand,Swimming,2012.0,36.0,0.0,0.0,,0.0,13.0,0.786,616.18,1.0,0,0.0,0.0,2.7692,0.0
Croatia,Cycling,1992,15.0,3.0,3.0,,7.0,37.0,0.521,1036.99,5.0,0,0.4667,0.4286,0.4054,0.0068
Lebanon,Shooting,2004,54.0,3.0,,4.0,11.0,24.0,0.907,153.19,10.0,0,0.2037,0.2727,2.25,0.0718
Malaysia,Athletics,1996,60.0,4.0,2.0,5.0,,6.0,0.864,862.57,11.0,0,,,10.0,
Colombia,Swimming,2012,42.0,3.0,1.0,0.0,4.0,36.0,0.484,549.04,4.0,0,0.0952,0.75,1.1667,0.0073
Austria,Weightlifting,2004,31.0,1.0,,2.0,3.0,22.0,0.945,10.35,5.0,0,0.0968,0.3333,1.4091,0.2899
Georgia,Rowing,2012,6.0,4.0,4.0,3.0,11.0,2.0,0.237,513.75,9.0,0,1.8333,0.3636,3.0,0.0214
Bolivia,Shooting,2016,5731.02579855172,0.0,1.0,1.0,2.0,21.0,17.267957904628418,57.35,0.0,0,0.0003,0.0,272.906,0.0349
Netherlands,Boxing,2024,3.0,2.0,0.0,1.0,3.0,22.0,0.527,538.61,4.0,0,1.0,0.6667,0.1364,0.0056
Romania,Cycling,2004,48.0,0.0,0.0,0.0,,49.0,0.137,1060.55,0.0,0,,,0.9796,
Germany,Weightlifting,1992,53.0,2.0,2.0,1.0,5.0,31.0,0.769,1283.71,3.0,0,0.0943,0.4,1.7097,0.0039
Spain,Boxing,2004,11.0,0.0,,0.0,0.0,10.0,,410.66,0.0,0,0.0,0.0,1.1,0.0
Jordan,Wrestling,2012,41.0,3.0,2.0,1.0,6.0,33.0,,973.08,4.0,0,0.1463,0.5,1.2424,0.0062
Norway,Cycling,2024,11.0,0.0,0.0,0.0,0.0,4.0,0.686,163.67,1.0,0,0.0,0.0,2.75,0.0
Georgia,Shooting,2004,22.0,3.0,0.0,0.0,3.0,24.0,0.837,1016.42,4.0,0,0.1364,1.0,0.9167,0.003
Kenya,Athletics,2004,50.0,0.0,0.0,0.0,0.0,42.0,0.627,1085.29,1.0,0,0.0,0.0,1.1905,0.0
Thailand,Wrestling,2024,43.0,4.0,1.0,3.0,8.0,43.0,0.722,1020.57,5.0,0,0.186,0.5,1.0,0.0078
Panama,Weightlifting,2016,39.0,3.0,1.0,2.0,6.0,,0.428,785.39,7.0,0,0.1538,0.5,,0.0076
Georgia,Boxing,1996,25.0,5.0,3.0,3.0,11.0,3.0,0.71,262.96,12.0,0,0.44,0.4545,8.3333,0.0418
Uzbekistan,Swimming,2016,37.0,1.0,2.0,0.0,3.0,11.0,0.314,1358.59,,0,0.0811,0.3333,3.3636,0.0022
Austria,Boxing,1996,5.0,0.0,0.0,0.0,0.0,1.0,0.258,1213.61,1.0,0,0.0,0.0,5.0,0.0
Bangladesh,Shooting,2004,25.0,1.0,,0.0,1.0,17.0,0.717,54.96,0.0,0,0.04,1.0,1.4706,0.0182
Armenia,Cycling,2012,,0.0,0.0,0.0,0.0,17.0,0.623,,0.0,0,,0.0,,
Georgia,Swimming,2024,38.0,2.0,1.0,0.0,3.0,12.0,0.443,486.65,,0,0.0789,0.6667,3.1667,0.0062
Switzerland,Shooting,1996,47.0,,3.0,1.0,9.0,12.0,0.129,1264.18,8.0,0,0.1915,,3.9167,0.0071
Finland,Wrestling,1996,48.0,1.0,1.0,4.0,6.0,22.0,0.496,546.77,3.0,0,0.125,0.1667,2.1818,0.011
Latvia,Weightlifting,2016,41.0,0.0,,0.0,0.0,10.0,0.741,17.48,0.0,0,0.0,0.0,4.1,0.0
Thailand,Rowing,2024,38.0,0.0,2.0,,4.0,19.0,0.888,424.15,5.0,0,0.1053,0.0,2.0,0.0094
Estonia,Judo,2020,39.0,0.0,0.0,1.0,1.0,33.0,0.158,680.89,0.0,0,0.0256,0.0,1.1818,0.0015
Armenia,Wrestling,1992,,1.0,2.0,0.0,3.0,32.0,0.529,1349.37,3.0,0,,0.3333,,0.0022
Dominican Republic,Judo,2008,43.0,0.0,0.0,0.0,0.0,25.0,0.176,1038.51,0.0,0,0.0,0.0,1.72,0.0
Ukraine,Judo,2012,8.0,0.0,0.0,0.0,0.0,30.0,0.242,608.27,0.0,0,0.0,0.0,0.2667,0.0
India,Gymnastics,2000,8.0,2.0,1.0,0.0,3.0,18.0,0.614,678.49,1.0,0,0.375,0.6667,0.4444,0.0044
Canada,Judo,2004,10.0,0.0,1.0,2.0,3.0,10.0,0.4,598.7,2.0,0,0.3,0.0,1.0,0.005
France,Rowing,2016,8.0,,4.0,4.0,13.0,8.0,0.481,870.35,11.0,0,1.625,,1.0,0.0149
Lebanon,Shooting,2008,52.0,2.0,5.0,2.0,9.0,23.0,0.368,78.63,10.0,0,0.1731,0.2222,2.2609,0.1145
Slovenia,Cycling,2024,1.0,,1.0,0.0,2.0,13.0,0.221,1039.95,,0,2.0,,0.0769,0.0019
France,Cycling,2016,9.0,4.0,2.0,2.0,8.0,,0.534,885.69,9.0,0,0.8889,0.5,,0.009
Czech Republic,Gymnastics,2008,14.0,0.0,,0.0,0.0,46.0,0.169,873.64,0.0,0,0.0,0.0,0.3043,0.0
Japan,Gymnastics,1996,7.0,0.0,0.0,0.0,0.0,5.0,0.238,352.25,0.0,0,0.0,0.0,1.4,0.0
Austria,Gymnastics,1992,42.0,1.0,3.0,1.0,5.0,38.0,,637.43,,0,0.119,0.2,1.1053,0.0078
Belarus,Boxing,1996,,,,2.0,3.0,32.0,0.347,1262.31,5.0,0,,,,0.0024
Brazil,Swimming,2000,27.0,0.0,0.0,0.0,0.0,34.0,0.825,1190.96,0.0,0,0.0,0.0,0.7941,0.0
Lithuania,Gymnastics,2016,17.0,2.0,1.0,3.0,6.0,1.0,0.582,1047.02,4.0,0,0.3529,0.3333,17.0,0.0057
UAE,Wrestling,2004,28.0,0.0,2.0,1.0,3.0,18.0,0.108,400.51,5.0,0,0.1071,0.0,1.5556,0.0075
Thailand,Swimming,2020,14.0,1.0,3.0,1.0,5.0,23.0,0.386,812.04,2.0,0,0.3571,0.2,0.6087,0.0062
Greece,Rowing,1996,5.0,3.0,0.0,,4.0,42.0,,1333.89,3.0,0,0.8,0.75,0.119,0.003
Estonia,Wrestling,2012,45.0,3.0,1.0,3.0,7.0,,,910.07,6.0,0,0.1556,0.4286,,0.0077
Switzerland,Weightlifting,2012,35.0,,3.0,,10.0,28.0,0.863,,12.0,0,0.2857,,1.25,
Russia,Athletics,2012,48.0,4.0,2.0,2.0,8.0,24.0,0.212,1339.03,9.0,0,0.1667,0.5,2.0,0.006
Indonesia,Weightlifting,1992,48.0,0.0,2.0,,3.0,24.0,0.157,691.89,2.0,0,0.0625,0.0,2.0,0.0043
Mongolia,Wrestling,2020,30.0,1.0,,1.0,5.0,33.0,,1353.63,3.0,0,0.1667,0.2,0.9091,0.0037
UAE,Judo,2012,62.0,2.0,2.0,3.0,7.0,3.0,,1390.56,6.0,0,0.1129,0.2857,20.6667,0.005
Serbia,Wrestling,1992,32.0,4.0,4.0,2.0,10.0,26.0,0.44,1005.16,11.0,0,0.3125,0.4,1.2308,0.0099
Serbia,Shooting,2012,,2.0,,,8.0,14.0,0.505,321.31,7.0,0,,0.25,,0.0249
Switzerland,Judo,2012,,0.0,,1.0,1.0,29.0,0.632,755.65,2.0,0,,0.0,,0.0013
Lithuania,Athletics,2016,54.0,0.0,2.0,1.0,3.0,26.0,0.793,768.15,1.0,0,0.0556,0.0,2.0769,0.0039
Ukraine,Cycling,1996,26.0,4.0,2.0,2.0,8.0,5.0,0.456,1219.39,5.0,0,0.3077,0.5,5.2,0.0066
Hungary,Weightlifting,2024,60.0,0.0,0.0,1.0,1.0,43.0,0.977,953.96,1.0,0,0.0167,0.0,1.3953,0.001
China,Athletics,1992,55.0,,0.0,0.0,2.0,28.0,0.998,831.09,4.0,0,0.0364,,1.9643,0.0024
Costa Rica,Athletics,2012,28.0,2.0,3.0,2.0,7.0,10.0,0.982,1113.03,7.0,0,0.25,0.2857,2.8,0.0063
FRANCE,Weightlifting,2012,21.0,3.0,,3.0,9.0,,0.925,1176.66,11.0,0,0.4286,0.3333,,0.0076
Bulgaria,Boxing,2004,15.0,5.0,1.0,1.0,7.0,12.0,0.172,497.33,5.0,0,0.4667,0.7143,1.25,0.0141
Ethiopia,Boxing,2012,21.0,5.0,3.0,3.0,11.0,6.0,0.759,,12.0,0,0.5238,0.4545,3.5,
Greece,Judo,2008,16.0,,,0.0,1.0,,0.296,1257.99,3.0,0,0.0625,,,0.0008
Nigeria,Judo,2012,21.0,4.0,3.0,,10.0,42.0,0.215,315.27,11.0,0,0.4762,0.4,0.5,0.0317
Nepal,Wrestling,2008,61.0,0.0,0.0,0.0,0.0,,0.53,1057.9,0.0,0,0.0,0.0,,0.0
Iran,Athletics,2004,44.0,,4.0,2.0,10.0,,0.135,684.96,11.0,0,0.2273,,,0.0146
russia,Weightlifting,2000,31.0,4.0,2.0,0.0,6.0,15.0,0.319,1297.92,6.0,0,0.1935,0.6667,2.0667,0.0046
Lithuania,Boxing,2004,54.0,2.0,4.0,4.0,10.0,30.0,0.738,1299.02,8.0,0,0.1852,0.2,1.8,0.0077
Bangladesh,Wrestling,2016,33.0,1.0,0.0,0.0,1.0,,0.805,703.72,0.0,0,0.0303,1.0,,0.0014
Malaysia,Swimming,2012,,0.0,0.0,0.0,0.0,46.0,0.668,339.7,0.0,0,,0.0,,0.0
Kenya,Cycling,1992,,1.0,0.0,3.0,4.0,35.0,0.912,192.73,5.0,0,,0.25,,0.0208
Zimbabwe,Boxing,2020,58.0,3.0,2.0,3.0,8.0,38.0,0.976,1367.79,7.0,0,0.1379,0.375,1.5263,0.0058
South Korea,Wrestling,2020,61.0,2.0,1.0,0.0,3.0,47.0,0.22,,5.0,0,0.0492,0.6667,1.2979,
Bolivia,Cycling,2024,41.0,0.0,0.0,0.0,0.0,17.0,0.908,,0.0,0,0.0,0.0,2.4118,
New Zealand,Athletics,2016,12.0,1.0,2.0,1.0,4.0,46.0,0.391,434.73,6.0,0,0.3333,0.25,0.2609,0.0092
Sweden,Boxing,2008,38.0,2.0,2.0,2.0,6.0,49.0,0.148,1351.59,6.0,0,0.1579,0.3333,0.7755,0.0044
Ethiopia,Judo,2004,22.0,2.0,2.0,0.0,4.0,40.0,0.884,41.85,,0,0.1818,0.5,0.55,0.0956
Dominican Republic,Boxing,2004,34.0,5.0,1.0,,7.0,46.0,,1104.91,9.0,0,0.2059,0.7143,0.7391,0.0063
Finland,Boxing,2024,55.0,1.0,,0.0,2.0,16.0,0.789,,4.0,0,0.0364,0.5,3.4375,
Cambodia,Shooting,1996,20.0,2.0,3.0,,9.0,4.0,0.516,230.59,6.0,0,0.45,0.2222,5.0,0.039
Canada,Cycling,2012,3.0,3.0,5.0,4.0,12.0,24.0,0.447,178.64,11.0,0,4.0,0.25,0.125,0.0672
New Zealand,Gymnastics,2020,37.0,4.0,2.0,3.0,9.0,5.0,0.449,705.26,9.0,0,0.2432,0.4444,7.4,0.0128
Turkey,Cycling,2024,56.0,1.0,0.0,0.0,1.0,30.0,0.135,,0.0,0,0.0179,1.0,1.8667,
Mexico,Rowing,1992,18.0,1.0,0.0,1.0,2.0,34.0,0.363,763.7,4.0,0,0.1111,0.5,0.5294,0.0026
Qatar,Athletics,1996,,2.0,1.0,0.0,3.0,33.0,0.681,167.73,4.0,0,,0.6667,,0.0179
Spain,Boxing,2016,12.0,0.0,0.0,0.0,0.0,30.0,0.935,,0.0,0,0.0,0.0,0.4,
Kazakhstan,Wrestling,1996,18.0,1.0,1.0,1.0,3.0,8.0,0.864,,0.0,0,0.1667,0.3333,2.25,
Bolivia,Rowing,2004,32.0,4.0,0.0,0.0,4.0,35.0,0.205,848.27,4.0,0,0.125,1.0,0.9143,0.0047
Dominican Republic,Shooting,2000,14.0,0.0,1.0,0.0,1.0,36.0,0.459,192.5,1.0,0,0.0714,0.0,0.3889,0.0052
Lebanon,Shooting,2000,49.0,3.0,2.0,2.0,7.0,40.0,0.526,1042.17,5.0,0,0.1429,0.4286,1.225,0.0067
Germany,Swimming,2016,6.0,1.0,2.0,2.0,5.0,11.0,0.415,,2.0,0,0.8333,0.2,0.5455,
Austria,Boxing,2012,4.0,0.0,1.0,0.0,1.0,48.0,0.87,290.7,,0,0.25,0.0,0.0833,0.0034
Bulgaria,Cycling,2016,39.0,0.0,2.0,2.0,4.0,40.0,0.385,609.0,1.0,0,0.1026,0.0,0.975,0.0066
Ukraine,Athletics,1992,10.0,2.0,1.0,0.0,,6.0,0.187,979.11,1.0,0,,,1.6667,
Lebanon,Weightlifting,2008,24.0,1.0,0.0,,1.0,26.0,0.55,543.21,,0,0.0417,1.0,0.9231,0.0018
Spain,Wrestling,2000,47.0,5.0,3.0,1.0,9.0,,0.455,643.77,10.0,0,0.1915,0.5556,,0.014
Georgia,Gymnastics,1996,28.0,0.0,0.0,,1.0,45.0,0.828,,0.0,0,0.0357,0.0,0.6222,
russia,Judo,2012,2.0,4.0,2.0,5.0,11.0,12.0,0.218,1357.78,10.0,0,5.5,0.3636,0.1667,0.0081
Georgia,Gymnastics,2004,25.0,0.0,0.0,0.0,0.0,38.0,0.844,244.66,1.0,0,0.0,0.0,0.6579,0.0
Estonia,Cycling,2020,48.0,4.0,5.0,,13.0,23.0,0.639,250.94,,0,0.2708,0.3077,2.087,0.0518
